Name,Longitude,Latitude
Ackley Creek County Park,-92.875,42.953
Acorn Valley - Saylorville Lake,-93.724,41.738
Adair City Park,-94.643,41.498
Adolph Munson Park,-92.21,43.12
Airport Lake Park,-92.348,43.09
Akron City Park,-96.556,42.832
Albert the Bull CG,-94.926,41.711
Alcock Park,-92.313,42.88
Alton Roadside Park,-96.005,42.998
Ambrose Call State Park,-94.247,43.052
Ames Bandshell City Park,-93.609,42.026
Arnolds Park City Park,-95.131,43.366
Arrowhead Park,-95.59,41.432
Ashton Wildwood Park,-93.289,41.814
Austin County Park,-91.968,40.768
Backbone State Park,-91.56,42.616
Baileys Ford,-91.411,42.447
Bankston Park,-90.953,42.56
Beaver Meadows Co Park,-92.787,42.583
Beeds Lake State Park,-93.236,42.768
Bellevue State Park,-90.423,42.247
Bells Mills County Park,-93.889,42.34
Belva - Deer Rec Area,-92.151,41.386
Bennett Park,-90.922,41.746
Benton City - Fry Area,-91.918,42.162
Bentonsport,-91.852,40.725
Bessman-Kemp Co Park,-93.386,42.526
Big Hollow Creek Park,-91.226,40.952
Big Woods Lake,-92.434,42.556
Bigelow County Park,-96.326,42.306
Black Hawk County Park,-92.478,42.563
Black Hawk State Park,-95.017,42.292
Bloody Run County Park,-91.212,43.044
Bob Shetler - Saylorville Lake,-93.685,41.701
Bobwhite State Park,-93.398,40.708
Botna Bend County Park,-95.363,41.396
Brekke Memorial Park,-93.04,42.236
Bridgeview - Rathbun Lake,-93.012,40.876
Briggs Woods Park,-93.802,42.432
Brinton Timber,-91.85,41.224
Browns Lake - Bigelow Park,-96.326,42.306
Browns Lake Bigelow Park,-96.326,42.306
Brushy Creek State Rec Area,-93.983,42.394
Buck Creek - Rathbun Lake,-92.869,40.85
Buck Creek County Park,-91.209,42.879
Buena Vista Co Park,-95.338,42.884
Buffalo Creek Area,-91.687,42.471
Buffalo Creek County Park,-91.542,42.287
Buffalo Shores County Park,-90.745,41.454
Bulgers Hollow - Mississippi River,-90.182,41.935
Bur Oak - Hillview County Rec Area,-96.319,42.637
Burt Lake County Park,-94.401,43.488
Camp Comfort,-92.761,42.844
Camp Crescent Park,-95.043,42.308
Cappy Russell Access,-91.014,41.162
Carson City Park,-95.424,41.237
