Name,Longitude,Latitude
Mount Elbert,-106.4454,39.1178
Mount Massive,-106.4757,39.1875
Mount Harvard,-106.3207,38.9244
Blanca Peak,-105.4856,37.5775
La Plata Peak,-106.4729,39.0294
Uncompahgre Peak,-107.4621,38.0717
Crestone Peak,-105.5855,37.9669
Mount Lincoln,-106.1116,39.3515
Castle Peak,-106.8614,39.0097
Grays Peak,-105.8176,39.6339
Mount Antero,-106.2462,38.6741
Torreys Peak,-105.8212,39.6428
Quandary Peak,-106.1064,39.3973
Mount Evans,-105.6438,39.5883
Longs Peak,-105.6151,40.255
Mount Wilson,-107.9916,37.8391
Mount Shavano,-106.2393,38.6192
Mount Princeton,-106.2424,38.7492
Mount Belford,-106.3607,38.9607
Crestone Needle,-105.5766,37.9647
Mount Yale,-106.3138,38.8442
Mount Bross,-106.1077,39.3354
Kit Carson Mountain,-105.6026,37.9797
Maroon Peak,-106.989,39.0708
Tabeguache Peak,-106.2509,38.6255
Mount Oxford (Colorado),-106.3388,38.9648
Mount Sneffels,-107.7923,38.0038
Mount Democrat,-106.14,39.3396
Capitol Peak,-107.0829,39.1503
Pikes Peak,-105.0442,38.8405
Snowmass Mountain,-107.0665,39.1188
Windom Peak,-107.5919,37.6212
Mount Eolus,-107.6227,37.6218
Challenger Point,-105.6066,37.9804
Mount Columbia,-106.2975,38.9039
Missouri Mountain,-106.3785,38.9476
Humboldt Peak,-105.5552,37.9762
Mount Bierstadt,-105.6688,39.5826
Sunlight Peak,-107.5959,37.6274
Handies Peak,-107.5044,37.913
Culebra Peak,-105.1858,37.1224
Ellingwood Point,-105.4927,37.5826
Mount Lindsey,-105.4449,37.5837
Little Bear Peak,-105.4972,37.5666
Mount Sherman,-106.1699,39.225
Redcloud Peak,-107.4219,37.941
Pyramid Peak,-106.9502,39.0717
Wilson Peak,-107.9847,37.8603
San Luis Peak,-106.9313,37.9868
Wetterhorn Peak,-107.5109,38.0607
Mount of the Holy Cross,-106.4817,39.4668
Huron Peak,-106.4381,38.9455
Sunshine Peak,-107.4256,37.9228
