Name,Longitude,Latitude
Aniakchak National Monument and Preserve,-158.250556,56.833333
Bering Land Bridge National Preserve,-164.80842,66.05595
Big Cypress National Preserve,-81.0337,25.85889
Big Thicket National Preserve,-94.41082,30.27567
Craters of the Moon National Monument and Preserve,-113.56271,43.46167
Denali National Park and Preserve,-150.49972,63.33333
Gates of the Arctic National Park and Preserve,-153.29972,67.78333
Glacier Bay National Park and Preserve,-137,58.5
Great Sand Dunes National Park and Preserve,-105.51182,37.73287
Katmai National Park and Preserve,-154.99972,58.5
Lake Clark National Park and Preserve,-153.41642,60.96667
Little River Canyon National Preserve,-85.59536,34.44056
Mojave National Preserve,-115.71642,34.88333
Noatak National Preserve,-161.19972,68
Oregon Caves National Monument and Preserve,-123.405833,42.095556
Tallgrass Prairie National Preserve,-96.55869,38.43278
Timucuan Ecological and Historic Preserve,-81.44988,30.45445
Valles Caldera National Preserve,-106.533,35.9
Wrangell-St. Elias National Park and Preserve,-141.99972,61
Yukon-Charley Rivers National Preserve,-142.79972,65
